author,date,section,subtitle,title,url,text
-,02/04/2019 21:00:10,Brasil,-,"‘Chega, não dá mais’, diz presidente da frente ruralista a líderes do governo",https://www.oantagonista.com/brasil/chega-nao-da-mais-diz-presidente-da-frente-ruralista-lideres-governo/,"Alceu Moreira, o presidente da Frente Parlamentar da Agropecuária –que hoje –, reclamou de Flávio Bolsonaro a Joice Hasselmann e Vitor Hugo, líderes do governo no Congresso.O motivo foi um tuíte do filho mais velho de Jair Bolsonaro. O senador postou –e depois apagou– “Quero que vocês se explodam”, em resposta a uma nota de repúdio do grupo terrorista Hamas à abertura de um escritório de negócios pelo governo brasileiro em Jerusalém.“Chega! Chegamos ao limite! Não dá mais! Acabou a paciência!”, disse Alceu, referindo-se ao tuíte, a Joice e Vitor Hugo, segundo o relato de O Globo.Desde que Bolsonaro prometeu mudar a embaixada brasileira de Tel Aviv para Jerusalém, a FPA negocia um recuo do Planalto, por temor de perder mercado nos países árabes.Na viagem a Israel, o presidente decidiu abrir apenas um escritório de negócios em Jerusalém."
-,02/04/2019 20:47:14,Brasil,-,Moro rebate críticas a Wilson Damazio,https://www.oantagonista.com/brasil/moro-rebate-criticas-wilson-damazio/,"O ministro Sergio Moro rebateu as críticas à nomeação de Wilson Damazio para o Conselho Nacional de Política Criminal e Penitenciária.Ele disse a O Antagonista que o delegado da PF aposentado “foi um dos responsáveis pela implantação do sistema penitenciário federal”.“Sua escolha foi por questões técnicas. Quanto às suas declarações proferidas anos atrás, ele já pediu desculpas na época e elas não refletem a posição do Ministério da Justiça e da Segurança Pública.”"
-,02/04/2019 20:40:46,Brasil,-,Aliados de Crivella dominam comissão que analisa seu impeachment,https://www.oantagonista.com/brasil/aliados-de-crivella-dominam-comissao-que-analisa-seu-impeachment/,"A comissão processante que vai analisar o pedido de impeachment de Marcelo Crivella, com três vereadores, será formada por dois aliados do prefeito do Rio, registra a Folha.Foram sorteados para integrar o grupo o ex-secretário da Casa Civil Paulo Messina, que reassumiu o mandato apenas para votar pela rejeição da denúncia​, e Luiz Carlos Ramos Filho, que também votou contra a abertura do processo.O outro vereador é William Coelho, que votou pela abertura do processo. Todo o trabalho da comissão será submetido ao plenário da Câmara Municipal.A expectativa do governo é que a negociação com vereadores possa ser reaberta durante os trabalhos da comissão processante."
-,02/04/2019 20:20:34,Mundo,-,Só 11% acreditam em tese de Maduro sobre ‘sabotagem’,https://www.oantagonista.com/mundo/11-acreditam-em-tese-de-maduro-sobre-sabotagem/,"Só 11% dos moradores da Venezuela acreditam em Nicolás Maduro quando ele diz que os apagões do país são furto de “sabotagem”.Os dados, informa Duda Teixeira, são da empresa de pesquisas Meganálisis.Leia em :"
-,02/04/2019 20:10:02,Brasil,-,Maia defende regime de capitalização “híbrido”,https://www.oantagonista.com/brasil/maia-defende-regime-de-capitalizacao-hibrido/,"Rodrigo Maia esclareceu há pouco, na Câmara, a declaração de que o modelo de capitalização proposto na reforma da Previdência não será aprovado.Segundo ele, o novo sistema não será sustentável porque “a renda do brasileiro é baixa”. Ele sugere um modelo híbrido.“Acho que a capitalização vai passar, mas em um sistema que garanta a obrigatoriedade da contribuição patronal, uma renda mínima.”"
-,02/04/2019 20:00:10,Mundo,-,Rússia anuncia centro de manutenção de helicópteros na Venezuela,https://www.oantagonista.com/mundo/russia-anuncia-centro-de-manutencao-de-helicopteros-na-venezuela/,"A empresa estatal russa Russian Helicopters anunciou hoje que abrirá nos próximos meses um centro de manutenção de helicópteros na Venezuela, conta Duda Teixeira em .A ditadura de Nicolás Maduro continua gastando com armas, enquanto os venezuelanos sofrem com fome e falta de remédios.Leia a reportagem:"
-,02/04/2019 19:55:38,Brasil,-,Deputados rejeitam permissão para devolver sobras do Fundo Partidário,https://www.oantagonista.com/brasil/deputados-rejeitam-permissao-para-devolver-sobras-fundo-partidario/,"Com 294 votos contrários, a Câmara rejeitou proposta do deputado Marcel van Hattem (Novo-RS) para permitir aos partidos devolver recursos que não usam do Fundo Partidário.O PSL fechou questão contra a proposta e somente 144 deputados votaram a favor.A proposta foi feita dentro do projeto de lei que ameniza punições aos partidos que não aplicam ao menos 5% do fundo no incentivo à participação das mulheres na política."
-,02/04/2019 19:53:57,Brasil,-,Frente Parlamentar do Agro apoia reforma da Previdência,https://www.oantagonista.com/brasil/frente-parlamentar-agro-apoia-reforma-da-previdencia/,"A Frente Parlamentar da Agropecuária declarou apoio à reforma da Previdência.O anúncio foi feito há pouco pelo deputado Alceu Moreira (MDB-RS), presidente da frente, ao lado do presidente da CNA, João Martins, e dos presidentes 27 federações estaduais de agricultura.“Nós da FPA, junto com a CNA, temos a absoluta convicção que a reforma da previdência vai nos dar fôlego fiscal para fazer investimentos em áreas importantíssimas do país, inclusive para começar a mobilizar a roda de geração de emprego para a população. Vamos fazer o melhor possível, mas vamos aprovar a reforma da previdência”, disse Moreira.Ele ressaltou ainda as possíveis discordâncias que o texto enviado pelo governo ao Congresso podem ter dentro do setor rural, como os benefícios de prestação continuada (BPC), e a idade mínima de aposentadoria.“O impacto financeiro deste processo não é tão grande assim, então nós podemos discutir tecnicamente para encontrar saída”, afirmou. "
-,02/04/2019 19:45:30,Brasil,-,Mourão recua e diz que Bolsonaro não sabia de vídeo pró-golpe,https://www.oantagonista.com/brasil/mourao-recua-e-diz-que-bolsonaro-nao-sabia-de-video-pro-golpe/,"Hamilton Mourão afirmou hoje que, ao contrário do que disse na segunda, Jair Bolsonaro não tinha ciência da divulgação de um vídeo pró-golpe de 1964 por um número de WhatsApp do Planalto, registra O Globo.“Em tese, ele deveria saber. Agora sei que ele não sabia”, declarou o presidente interino a jornalistas.Hoje, o empresário e ex-vice-presidente do Corinthians Osmar Stábile ."
-,02/04/2019 19:39:24,Internet,-,"Enquanto isso, no mundo real…",https://www.oantagonista.com/internet/enquanto-isso-no-mundo-real/,"Enquanto as redes sociais discutem o Nazismo, Modesto Carvalhosa alerta para mais uma tragédia brasileira.Da direita à esquerda.Tragédia anunciada:1 O FUNDO DA VERGONHA custeia campanhas políticas;2 O projeto de lei do dep. Paulinho da Força anistia partidos eximindo responsabilidades tributárias;3 Crimes de caixa 2 são encaminhados para Justiça Eleitoral; Ou seja: VITÓRIA da IMPUNIDADE. E você paga.— Modesto Carvalhosa (@CarvalhosaMo) "
-,02/04/2019 19:28:28,Brasil,-,Campanha da Previdência já consumiu 30 milhões,https://www.oantagonista.com/brasil/campanha-da-previdencia-ja-consumiu-30-milhoes/,"O governo destinou R$ 30 milhões para a campanha da reforma da Previdência.O dinheiro foi remanejado do Ministério da Economia para a Secretaria de Comunicação, pois o ministro Santos Cruz não queria gastar 1 real.Boa parte da verba foi para empresas de aceleração digital. Tem gente na Presidência duvidando do resultado da estratégia de comunicação."
-,02/04/2019 19:21:13,Brasil,-,"‘A arrogância precede a ruína’, diz líder evangéico sobre Bolsonaro",https://www.oantagonista.com/brasil/arrogancia-precede-ruina-diz-lider-evangeico-sobre-bolsonaro/,"O deputado Silas Câmara, do PRB do Amazonas, recém-eleito líder da bancada evangélica no Congresso, fez uma série de críticas a Jair Bolsonaro em entrevista ao site BuzzFeed.Para Câmara, as atitudes do presidente dificultam a aprovação da reforma da Previdência — preocupação que, para ele, deveria ser mais do governo que do Congresso.“Diz a Bíblia que a arrogância precede a ruína. Acho perigosa essa história do ‘ninguém fala a verdade’, ‘as pesquisas são mentirosas’, do ‘só eu sei de tudo’. Essa coisa de a rede social é meu Deus e ninguém mais fora dela. Precisa de um freio de arrumação”, afirmou o deputado."
-,02/04/2019 19:15:04,Brasil,-,Foi o Carluxo,https://www.oantagonista.com/brasil/foi-o-carluxo/,"Flávio Bolsonaro provavelmente se arrependeu da postagem contra o Hamas e retirou o tuíte do ar.Não tem problema, senador. Pode dizer que o Carluxo pegou sua senha."
-,02/04/2019 18:48:02,Brasil,-,Com direito a acompanhante,https://www.oantagonista.com/brasil/com-direito-acompanhante/,"Raquel Dodge vai participar da Brazil Conference, evento organizado por Harvard e MIT, no próximo fim de semana.Levará consigo a sua chefe de gabinete, a procuradora Mara Elisa de Oliveira, que não vai dar conferência nenhuma.As despesas ficarão a cargo do Ministério Público Federal.A assessoria de órgão esclarece que a presença da chefe de gabinete é importante para resolver questões práticas da viagem, bem como na elaboração de despachos com prazos processuais."
-,02/04/2019 18:41:50,Brasil,-,"‘De esquerda é o comunismo, não resta a mínima dúvida’, diz Mourão",https://www.oantagonista.com/brasil/de-esquerda-e-o-comunismo-nao-resta-minima-duvida-diz-mourao/,"Hamilton Mourão foi questionado hoje sobre as declarações de Jair Bolsonaro após visitar o Centro Mundial de Memória do Holocausto –o presidente brasileiro disse que o nazismo era um regime de esquerda.“De esquerda é o comunismo, não resta a mínima dúvida”, respondeu o presidente interino, de acordo com o relato do G1."
-,02/04/2019 18:34:39,Brasil,-,"Para conselheiro nomeado por Moro, mulheres têm tara por policiais",https://www.oantagonista.com/brasil/para-conselheiro-nomeado-por-moro-mulheres-tem-tara-por-policiais/,"Sergio Moro empossou no Ministério da Justiça um conselheiro que, em entrevistas, associou a homossexualidade a “desvio de conduta” e afirmou que, para a mulher é o máximo “estar dando para um policial”, registra a Folha.As declarações foram dadas pelo delegado federal aposentado Wilson Damázio, que assumiu na semana passada vaga no Conselho Nacional de Política Criminal e Penitenciária.O cargo de conselheiro é o mesmo oferecido em fevereiro à ativista Ilona Szabó, cuja indicação foi revogada por Moro por ordem de Jair Bolsonaro.Em entrevista ao Jornal do Commercio em 2013, quando era secretário de Defesa Social de Pernambuco, Damázio foi questionado sobre casos de exploração sexual de meninas por policiais.“Desvio de conduta a gente tem em todo lugar. Tem na casa da gente, tem um irmão que é homossexual, tem outro que é ladrão, entendeu?”, disse o então secretário.Na ocasião, Damázio afirmou também que o policial “exerce um fascínio no dito sexo frágil”.“É um negócio. Eu sou policial federal, feio pra c… A gente ia pra Floresta (sertão), para esses lugares. Quando chegávamos lá, colocávamos o colete, as meninas ficavam tudo sassaricadas. (…) Pra ela é o máximo estar dando pra um policial. Dentro da viatura, então, o fetiche vai lá em cima, é coisa de doido.”Ele perdeu o cargo depois dessa entrevista."
-,02/04/2019 18:18:48,Brasil,-,Carlos Bolsonaro vota a favor de impeachment de Crivella,https://www.oantagonista.com/brasil/carlos-bolsonaro-vota-favor-de-impeachment-de-crivella/,"Carlos Bolsonaro foi um dos vereadores do Rio que votaram a favor da abertura de processo de impeachment contra Marcelo Crivella, registra O Globo.Em julho do ano passado, o filho do presidente faltou à votação de outro processo de impeachment movido contra o prefeito do Rio.Na época, Carlos disse ter ficado diante de uma “faca de dois gumes”: “Se estou presente e voto com o prefeito, vão dizer que ele me comprou. Se eu estou presente e voto contra o prefeito, vão dizer que estou do lado do PSOL”.No segundo turno da eleição de 2016, os Bolsonaros pediram voto para Crivella. O prefeito, por sua vez, elogiou a candidatura de Jair à Presidência."
-,02/04/2019 18:07:36,Sociedade,-,"Bairro de Maceió afunda, e Braskem é acusada",https://www.oantagonista.com/sociedade/bairro-de-maceio-afunda-e-braskem-e-acusada/,"O Ministério Público e a Defensoria Pública de Alagoas pediram hoje o bloqueio de R$ 6,7 bilhões da Braskem e a indisponibilidade das ações da empresa negociadas em Bolsa, registra a Folha.O objetivo é reparar eventuais danos a moradores do bairro do Pinheiro, em Maceió, onde o solo afundou e há rachaduras em casas e edifícios –cerca de 200 moradores deixaram suas casas, e a prefeitura decretou emergência na região.As autoridades dizem ter oito indícios de que os eventos têm a ver com a mineração de sal-gema feita pela Braskem na região.Em nota, a empresa diz que está colaborando com as autoridades e que “não há, até o momento, laudo conclusivo que demonstre a relação entre as atividades da Braskem e os eventos observados”."
-,02/04/2019 17:50:51,Brasil,-,Engenheiros poderão ficar calados na CPI de Brumadinho,https://www.oantagonista.com/brasil/engenheiros-poderao-ficar-calados-na-cpi-de-brumadinho/,"Rosa Weber concedeu habeas corpus para que engenheiros da empresa Tüv Süd possam ficar em silêncio durante depoimento amanhã na CPI da Brumadinho, no Senado.Os engenheiros Jum Yassuda e Makoto Namba não precisarão responder a perguntas, nem serão obrigados a firmar termo de compromisso de falar a verdade.A dupla também é investigada pela Justiça."
-,02/04/2019 17:45:44,Brasil,-,Impeachment de Crivella é aberto,https://www.oantagonista.com/brasil/impeachment-de-crivella-e-aberto/,"A Câmara Municipal acaba de aprovar, por 35 votos a 14, a abertura de processo de impeachment do prefeito do Rio, Marcelo Crivella.Durante a análise da denúncia, ele permanecerá no cargo. O prefeito terá dez dias para apresentar sua defesa, após a publicação da admissibilidade no Diário Oficial, e uma comissão com três vereadores terá até 90 dias para apresentar um relatório.Na denúncia, o prefeito do PRB é acusado de crime de responsabilidade por conta da renovação de contratos de mobiliários urbanos em dezembro de 2018, que teriam favorecido duas empresas."
